RF;Method;Branch
96;ML;1
96;MP;1
96;ML;1
96;MP;1
96;ML;1
96;MP;1
96;ML;1
96;MP;0.5
96;ML;1
96;MP;1
96;ML;1
96;MP;1
96;ML;1
96;MP;1
96;ML;0.5
96;MP;0.5
96;ML;1
96;MP;1
96;ML;1
96;MP;1
96;ML;1
96;MP;1
96;ML;0.5
96;MP;0.5
96;ML;1
96;MP;1
240;ML;1
96;MP;1
96;ML;1
96;MP;1
96;ML;1
96;MP;1
96;ML;1
96;MP;1
96;ML;1
96;MP;1
240;ML;1
96;MP;1
96;ML;1
96;MP;1
96;ML;1
96;MP;1
96;ML;1
96;MP;1
96;ML;1
96;MP;1
96;ML;1
96;MP;1
96;ML;1
96;MP;0.5
96;ML;1
96;MP;1
96;ML;1
96;MP;1
96;ML;1
96;MP;1
96;ML;0.5
96;MP;0.5
168;ML;1
96;MP;1
96;ML;1
96;MP;1
96;ML;1
240;MP;1
96;ML;0.5
96;MP;0.5
96;ML;1
240;MP;1
96;ML;1
96;MP;1
240;ML;1
168;MP;1
168;ML;1
96;MP;1
96;ML;1
96;MP;1
96;ML;1
96;MP;1
96;ML;1
96;MP;1
96;ML;1
96;MP;1
96;ML;1
96;MP;1
168;ML;1
168;MP;1
168;ML;1
168;MP;1
168;ML;1
168;MP;1
168;ML;0.5
168;MP;0.5
168;ML;1
168;MP;1
168;ML;1
168;MP;1
168;ML;1
168;MP;1
168;ML;0.5
168;MP;0.5
168;ML;1
168;MP;1
168;ML;1
168;MP;1
168;ML;1
168;MP;1
168;ML;0.5
168;MP;0.5
168;ML;1
168;MP;1
96;ML;1
168;MP;1
168;ML;1
168;MP;1
168;ML;1
168;MP;1
168;ML;1
168;MP;1
96;ML;1
168;MP;1
168;ML;1
168;MP;1
168;ML;1
168;MP;1
240;ML;1
168;MP;1
